100,59,42
101,35,32
102,77,48
103,77,56
104,53,40
105,32,20
106,95,73
107,83,71
108,47,26
109,91,82
110,23,0
111,70,26
112,64,45
113,28,0
114,91,66
115,94,67
116,73,35
117,83,44
118,37,58
119,65,44
120,86,88
121,4,0
122,77,48
123,80,53
124,49,36
125,2,0
126,80,46
127,17,14
128,65,51
129,0,0
130,11,0
131,73,54
132,70,46
133,62,38
134,0,0
135,98,66
136,91,54
137,65,55
138,71,45
139,71,68
140,68,54
141,29,0
142,74,55
143,55,60
144,73,62
145,20,0
146,19,0
147,100,94
148,56,0
149,86,56
150,79,54
151,88,59
152,53,41
153,0,0
154,62,63
155,65,48
156,52,29
157,95,74
158,82,63
159,29,0
160,95,82
161,79,66
162,88,66
163,52,34
164,100,96
165,80,68
166,79,58
167,100,88
168,95,85
169,89,74
170,20,0
171,67,45
